sku|store_number|description|regular_price|dept_code|sale_price|sale_qty|promo_start_date|promo_end_date|promo_min_qty|promo_limit_qty|promo_buy_qty|promo_get_qty|promo_tag|family_sale_code|tax_pct|bottle_deposit|cool|brand_name|product_name|size|uom|scale_flag|how_to_sell|avg_weight|wgt_selector|item_location
00043000205556|72|JELLO SF FF INST PISTCHO PUDNG|1.25|44|10.00|10|2018/06/21|2018/07/04|0|0|||Giant Eagle Advantage Card Price|||||||1|OZ|N||||
00014500010155|72|BE VOILA CHKN STIR FRY|4.99|36||||||||||9961771||||||21|OZ|N||||
00014500012531|72|BE VOILA BEEF LO MEIN|5.49|36||||||||||||||||21|OZ|N||||
00072368340517|72|DELALLO GOLDEN SWEET VINEGAR|4.69|1||||||||||||||||8.5|OZ|N||||
00096200000995|72|TREATMENT-IN A SNAP|7.99|49||||||||||||||||1|EA|N||||
00096200001015|72|TREATMENT-NAIL DEFENSE|7.99|49||||||||||||||||1|EA|N||||
00096200001107|72|TREATMENT-WON'T CHIP|7.99|49||||||||||||||||1|EA|N||||
00018195700001|72|SENECA APPLE CHIPS ORIG|1.99|4||||||||||||||||2.50|OZ|N||||
00018195701008|72|SENECA CINN APPLE CHIPS|1.99|4||||||||||||||||2.50|OZ|N||||
00018195702005|72|SENECA CARMEL APPLE CHIPS|1.99|4||||||||||||||||2.50|OZ|N||||
00018195703002|72|SENECA GOLDEN DEL APPLE CHIPS|1.99|4||||||||||||||||2.50|OZ|N||||
00644209301126|72|MRS BTRWRTH BTRMLK CMPLT PNCAK|2.79|44||||||||||||||||32|OZ|N||||
00644209001620|72|LOG CABIN ALL NATURAL SYRUP|5.99|44||||||||||||||||22|OZ|N||||
00216344000006|72|L-O-L LS AMERICAN YELLOW|7.99|3||||||||||||||||1|LB|Y||||
00781723431226|72|MESH TEA BALL SS 2" 24 PRO|3.49|11||||||||||||||||1|EA|N||||
00039278315103|72|TIGER BALM PAIN RELIV OINTMENT|6.49|10||||||||||||||||0.63|OZ|N||||
00055712067124|72|WEETABIX BISCUIT|5.49|44||||||||||||||||14|OZ|N||||
00012044015605|72|OLD SPICE*FC FIJI SOLID|4.49|110||||||||||||||||2.60|OZ|N||||
00052427780010|72|GORILLA SUPER GLUE 2PK TUBES|3.99|27||||||||||||||||1|EA|N||||
00030034066697|72|GE SALSA MEXICAN STYLE MED|9.99|3||||||||||||||||48|OZ|N||||
00800897123543|72|NYX MASCARA LONG LASH|9.49|49||||||||||||||||0.28|OZ|N||||
00012000381232|72|PEPSI CHERRY VANILLA 12Z 12P|5.49|67||||||||||||||||144|OZ|N||||
00013562302611|72|ANNIE'S BUNNY GRAHAM FRIENDS|3.79|90||||||||||||||||7|OZ|N||||
00253472000003|72|PREV FRZN SNGL SLAB SPR|2.99|5||||||||||||||||1|LB|Y||||
00038000333606|72|EGGO FAM PAK 24CT BLUEBERRY|5.49|36||||||||||||||||29.60|OZ|N||||
00020662005304|72|NEWMANS PIZZA PEPPERONI|6.99|37||||||||||||||||15.10|OZ|N||||
00036800339606|72|TC GAS RLF EX STR SFTGL50CT|6.79|10||||||||||||||||50|CT|N||||
00036800339507|72|TC CRANBERRY TABLET 50CT|5.49|10||||||||||||||||50|CT|N||||
00020662005281|72|NEWMANS 4 CHSE 25% MORE CHEESE|6.99|37||||||||||||||||16|OZ|N||||
00011433110587|72|TANDOOR CHEF PALAK PANEER|4.29|36||||||||||||||||10|OZ|N||||
00076840076574|72|B&J MILK & COOKIES|4.79|96|12.00|4|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15113342||||||16|OZ|N||||
00815294000076|72|LINDYS ITAL ICE LEMON|4.78|96|4.78|2|2018/05/10|2018/08/22|0|0|||Giant Eagle Advantage Card Price|14874295||||||6|CT|N||||
00033674155431|72|ALIVE! WOMEN'S MULTI|19.99|10||||||||||||||||1|EA|N||||
00033674156735|72|ORGANIC EXTRA VIRGIN COCNT OIL|12.49|10||||||||||||||||1|EA|N||||
00010900033800|72|REYNOLDS PARTY VAR BAKE CUPS|1.49|44||||||||||||||||36|CT|N||||
00011156051426|72|TETLEY DECAF TEA BAG|3.49|67||||||||||||||||72|CT|N||||
00732913228126|72|SEV GEN DISINFECT WIPES|4.49|27||||||||||||||||35|OZ|N||||
00024100493845|72|CHEEZ IT DBL CHEESE SNACK MIX|3.79|90|5.00|2|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15016622||||||9.75|OZ|N||||
00030100490524|72|KEEBLER CLUB MINIS|3.99|90|4.00|2|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15017397||||||11|OZ|N||||
00030100505617|72|KEEBLER FUDGE COCONUT DREAMS|3.79|90||||||||||14722938||||||8.50|OZ|N||||
